study_id,study,paper,RS1_refstd_type,RS3_scale_granularity,RS3_binarized,RS4_rater_reliability_reported,RS4_evidence,RS2_proxy_leakage_[NKT],RS5_spectrum_[NKT],evidence_level,clinical_judgment_needed,RS1_evidence,RS2_evidence,RS5_evidence,correction_2026-08-22,clinician_signoff
A,VFSS_analysis/Cubero,Comput Biol Med 2025,instrumental reference (VFSS videofluoroscopy),"binary score per impairment (4 impairments), plus an anatomical segmentation step",n/a (segmentation),NR,"full text: two speech pathologists scored each impairment 0/1; no agreement statistic, no adjudication procedure and no blinding reported",segmentation mask is the label; the target is anatomical (not a proxy),not assessable through our channels; the published version is paywalled,abstract+pilot,"resolved 22 Aug 2026: the corrected reading, that the endpoint includes a two-rater binary impairment classification, was reviewed and accepted. The row stays outside the assessable subset because the published version was not retrieved through our channels; reopening it on the postprint is a decision the authors have not taken.","VFSS is the modality, but the operative label for the classifier is two experts' binary visual read, with no standardized instrument (no MBSImP, DIGEST or PAS)","the framework has three steps; the headline endpoint is a classifier trained on the experts' binary impairment scores, not the segmentation mask alone","the published version is paywalled; a postprint exists and reports 15 head-and-neck, 15 healthy and 27 non-cancer dysphagia participants, which would make this row assessable if the authors elect to reopen it","RS5 previously read 'NR (aetiology and severity distribution not reported)'. That is contradicted by the source, which reports aetiology and includes a healthy cohort. Since the full text was not retrieved through our channels, the row is corrected to not assessable rather than to a content claim. RS3 and the RS4 evidence previously described segmentation only.","reviewed and accepted by the clinician author, 22 Aug 2026"
B,masa/Saab,Front Neurosci 2023,clinical/bedside screening (post-stroke),binary dysphagia-risk,yes (binary risk),NR (own label),"full text: 'even VFSS by SLP has ... poor inter-rater reliability' (acknowledged); no agreement statistic for the label. A 94% inter-rater agreement figure appears in the paper but concerns audio quality for inclusion, not the dysphagia label",PROXY LEAKAGE: the model predicts a bedside-screening label FROM VOICE (not the instrumental standard),stroke inpatients only; no control arm by design,abstract+fulltext,YES,full text: the TOR-BSST pass or fail status is the training label; VFSS is explicitly not the label,"the screening instrument itself assesses voice change, so the label is partly constituted by a judgment about the same signal the model consumes",68 analysed stroke inpatients; aetiology and NIHSS reported in the cohort table; the words healthy and control do not appear,"RS5 previously read 'stroke patients; healthy controls? NR', which framed as unreported something the design settles. RS4 evidence now names the 94% audio-quality figure so the not-reported code cannot read as an oversight.","reviewed and accepted by the clinician author, 22 Aug 2026"
C,aht4005/risk-calc,needs-check (anti-reflux postoperative),clinical-outcome (postoperative dysphagia),binary (postoperative dysphagia present/absent),yes (binary),NR,tabular; the label is a postoperative clinical outcome; no kappa,clinical-outcome prediction (preoperative tabular -> postoperative dysphagia); not instrumental,anti-reflux surgery (GERD) — NOT neurogenic dysphagia; narrow spectrum,inventory-only,YES (scope),full text not retrieved through our channels; coded from repository metadata only,full text not retrieved through our channels; coded from repository metadata only,full text not retrieved through our channels; coded from repository metadata only,,
D,MinghaoSam/MICCAI24,MICCAI 2024 (could not be confirmed),instrumental (cine-MRI),anatomical segmentation (tongue/dorsum),n/a (segmentation),NR,no paper match; inferred from the modality,segmentation-mask label,NR,inventory-only,YES (verify paper),full text not retrieved through our channels; coded from repository metadata only,full text not retrieved through our channels; coded from repository metadata only,full text not retrieved through our channels; coded from repository metadata only,,
E,scut-jol/CFSCNet,article (could not be confirmed),instrumental (VFSS/video),swallow segmentation,n/a (segmentation),NR,no paper match,segmentation label,NR,inventory-only,YES (verify paper),full text not retrieved through our channels; coded from repository metadata only,full text not retrieved through our channels; coded from repository metadata only,full text not retrieved through our channels; coded from repository metadata only,,
F,kwahid/ABAS,MD Anderson RT (could not be confirmed),instrumental (CT),anatomical structure contour,n/a (segmentation),NR,no paper match; radiotherapy-planning context,segmentation (radiotherapy structure); NOT dysphagia assessment (borderline),head-and-neck cancer radiotherapy,inventory-only,YES (scope and paper),full text not retrieved through our channels; coded from repository metadata only,full text not retrieved through our channels; coded from repository metadata only,full text not retrieved through our channels; coded from repository metadata only,,
G,tsukagoshi/liquid,article (could not be confirmed),instrumental (VFSS/video),liquid-swallow segmentation,n/a (segmentation),NR,no paper match,segmentation label,NR,inventory-only,YES (verify paper),full text not retrieved through our channels; coded from repository metadata only,full text not retrieved through our channels; coded from repository metadata only,full text not retrieved through our channels; coded from repository metadata only,,
H,zhengfj1994/viscosity,unclear,physical viscosity label (IDDSI?),viscosity categories,unclear,NR,no paper match,physical-viscosity label (not clinical swallowing),NR,inventory-only,YES,full text not retrieved through our channels; coded from repository metadata only,full text not retrieved through our channels; coded from repository metadata only,full text not retrieved through our channels; coded from repository metadata only,,
N,MITI/swallow-detection,Communications Medicine 2025,instrumental (HRM manometry),event detection (swallow vs non-swallow),n/a (detection),NR,full text: manual expert annotation described as 'prone to errors' (acknowledged); no kappa or ICC,the target is a manometric swallow event (instrumental); not a proxy,oesophageal-motility patients,abstract+fulltext,YES,"full text: long-term high-resolution manometry, 36 circumferential sensors; swallow start defined by upper-oesophageal-sphincter relaxation in the trace","the model detects the swallow event directly in the manometry signal, so the target is the instrumental event itself","25 long-term HRM studies from patients with suspected intermittent oesophageal motility disorders, single centre; no healthy controls",,"reviewed and accepted by the clinician author, 22 Aug 2026"
O,enoch0307/screening,iScience 2026,instrumental reference (VFSS + PAS; 30 FPS),5-class NOMINAL anatomical phase (oral/pharyngeal/oesophageal) + binary — NOT ordinal severity,yes (binary + 5-class nominal),NR (for the label),"full text: Cohen kappa > 0.8 is reported for the GRBAS voice INPUT, not for the label; a blinded second therapist confirmed qualitatively (no number given)",TARGET VALID (not a proxy): the target is VFSS-confirmed dysphagia (instrumental gold standard); the clinical and voice features are input proxies and fall OUTSIDE the scope of RS2,older adults; 7 hospitals; healthy controls? NR,fulltext-verified,YES (RS5/RS6),full text: fluoroscopic images recorded at 30 frames per second; swallowing function assessed with the Penetration-Aspiration Scale,"full text: patients were classified based on VFSS findings, so the label is the instrumental standard; the GRBAS voice and clinical variables are model inputs","at least 65 years old, seven tertiary hospitals; the comparison group are hospital patients, and no healthy-control arm is described",,"reviewed and accepted by the clinician author, 22 Aug 2026"
