doi,in_corpus,ai_dysphagia_gap,ctx
10.1590/2317-1782/e20240305en,YES,,Original Article Silva et al. CoDAS 2025;37(4):e20240305 DOI:
10.1016/j.eswa.2022.117496,YES,,", Zhang Z, et al. Dysphagia diagnosis system with integrated speech analysis from throat vibration. Expert Syst Appl. 2022;204:117496. http://doi.org/"
10.1016/j.bspc.2021.103122,YES,, poor quality signals as a pre-processing scheme in the analysis of sEMG in swallowing. Biomed Signal Process Control. 2022;71:103122. http://doi.org/
10.1590/s0004-2803.202000000-66,YES,,"Y, Mahoney AS, Coyle JL. Artificial intelligence and dysphagia: novel solutions to old problems. Arq Gastroenterol. 2020;57(4):343-6. http:// doi.org/"
10.1038/s41378-023-00591-3,YES,,HD-sEMG electrodes for accurate recognition of swallowing activities on complex epidermal surfaces. Microsyst Nanoeng. 2023;9(1):115. http:// doi.org/
10.3390/math11143081,YES,,utional networks with different activation functions for swallow classification using depth video data. Mathematics. 2023;11(14):3081. http://doi.org/
10.1098/rsos.181982,YES,,"onohue C, Coyle JL, Sejdic E. Neck sensor- supported hyoid bone movement tracking during swallowing. R Soc Open Sci. 2019;6(7):181982. http://doi.org/"
10.3390/app10186179,YES,,"m HI, Choi S-I. Automatic detection of airway invasion from videofluoroscopy via deep learning technology. Appl Sci. 2020;10(18):6179. http://doi.org/"
10.1007/s00455-021-10317-0,YES,,ts across the lifespan in healthy community dwelling adults using high-resolution cervical auscultation. Dysphagia. 2022;37(3):664-75. http://doi.org/
10.1044/2020_ajslp-19-00155,YES,,esolution cervical auscultation and data science: new tools to address an old problem. Am J Speech Lang Pathol. 2020;29(2S):992- 1000. http://doi.org/
10.1111/nmo.12730,YES,, pharyngeal swallow dysfunction in dysphagia through artificial neural network modeling. Neurogastroenterol Motil. 2016;28(3):336-44. http:// doi.org/
10.1002/lary.23655,YES,,tificial neural network classification of pharyngeal high-resolution manometry with impedance data. Laryngoscope. 2013;123(3):713-20. http:// doi.org/
10.1177/0194599813489506,YES,,on manometry data according to videofluoroscopic parameters using pattern recognition. Otolaryngol Head Neck Surg. 2013;149(1):126-33. http://doi.org/
10.1038/s41598-022-25618-z,YES,,ection during flexible endoscopic evaluation of swallowing with artificial intelligence-assisted diagnosis. Sci Rep. 2022;12(1):21689. http://doi.org/
10.3390/diagnostics11020300,YES,,mmed videofluoroscopic swallowing study using transfer learning with deep convolutional neural networks. Diagnostics. 2021;11(2):300. http:// doi.org/
10.3390/healthcare8020103,YES,," K, Moritani S, Sakamoto SI, Sakai O. Classifying dysphagic swallowing sounds with support vector machines. Healthcare. 2020;8(2):103. http://doi.org/"
10.1038/s41598-020-65492-1,YES,,n-invasive identification of swallows via deep learning in high resolution cervical auscultation recordings. Sci Rep. 2020;10(1):8704. http://doi.org/
10.1186/1743-0003-9-34,YES,,"jdić E, Berall G, Chau T. Quantitative classification of pediatric swallowing through accelerometry. J Neuroeng Rehabil. 2012;9(1):34. http://doi.org/"
10.3390/jcm10122681,YES,,examiners for detection of laryngeal penetration or aspiration in videofluoroscopic swallowing studies. J Clin Med. 2021;10(12):2681. http:// doi.org/
