repo,url,modality,paper_link,license,stars,include,include_reason,category,attemptable_note
BSEL-UC3M/VFSS_analysis,https://github.com/BSEL-UC3M/VFSS_analysis,VFSS,Cubero et al. Comput Biol Med 2025,none,1,yes,"in scope, public resolvable repository; included in the 22-repository census",DONE-pilot1,RE-RUN COMPLETED: crashed out of the box -> 5 fixes -> partial. Source journal delisted from Web of Science.
UofTNeurology/masa-open-source,https://github.com/UofTNeurology/masa-open-source,acoustic,Saab et al. Front Neurosci 2023,LICENSE-present,,yes,"in scope, public resolvable repository; included in the 22-repository census",DONE-pilot2,RE-RUN COMPLETED: non-portable local-path wheel -> not_re_executable; no weights or data -> not_attemptable.
aht4005/dysphagia-risk-calculator,https://github.com/aht4005/dysphagia-risk-calculator,clinical/tabular,needs-check,none-shown,0,yes,"in scope, public resolvable repository; included in the 22-repository census",candidate,"tabular interpretable ML (post-operative dysphagia after anti-reflux surgery) - no GPU needed, so CPU-attemptable; PRIORITY."
MinghaoSam/SwallowingFunctionAnalysis,https://github.com/MinghaoSam/SwallowingFunctionAnalysis,Cine-MRI,MICCAI 2024 (tongue dorsum seg),MIT,0,yes,"in scope, public resolvable repository; included in the 22-repository census",candidate,Official code plus an MIT license; linked to a publication. Cine-MRI segmentation may be slow on CPU.
scut-jol/CFSCNet,https://github.com/scut-jol/CFSCNet,VFSS/video,article (CFSCNet swallow seg),none-shown,0,yes,"in scope, public resolvable repository; included in the 22-repository census",candidate,CFSCNet swallow segmentation; the link to the paper is to be confirmed from the README.
scut-jol/swallow_segment_system,https://github.com/scut-jol/swallow_segment_system,VFSS/video,needs-check (CFSCNet group),none-shown,0,yes,"in scope, public resolvable repository; included in the 22-repository census",candidate,same group; may be the same study as CFSCNet (deduplication).
kwahid/ABAS_swallowing_structures,https://github.com/kwahid/ABAS_swallowing_structures,CT,needs-check (MD Anderson RT),none-shown,0,yes,"in scope, public resolvable repository; included in the 22-repository census",borderline,"atlas-based auto-segmentation of swallowing structures - radiotherapy planning or dysphagia assessment? may be out of scope, as MEPDNet was."
tsukagoshi56/liquid_swallowing_segmentation,https://github.com/tsukagoshi56/liquid_swallowing_segmentation,VFSS/video,needs-check,none-shown,1,yes,"in scope, public resolvable repository; included in the 22-repository census",candidate,one of three repositories by the same author; may be variants of a single study (deduplication).
tsukagoshi56/swallowing_segmentation_meanteacher,https://github.com/tsukagoshi56/swallowing_segmentation_meanteacher,VFSS/video,needs-check,none-shown,1,yes,"in scope, public resolvable repository; included in the 22-repository census",candidate,mean-teacher SSL variant.
tsukagoshi56/swallowing_segmentation_with_ssl_gru,https://github.com/tsukagoshi56/swallowing_segmentation_with_ssl_gru,VFSS/video,needs-check,none-shown,1,yes,"in scope, public resolvable repository; included in the 22-repository census",candidate,SSL plus GRU variant.
