study_id,study,paper,item,code,recorded_basis,assigned_by,evidence_level,correction_2026_08_22
A,VFSS_analysis/Cubero,Comput Biol Med 2025,RS1 reference-standard type,instrumental reference (VFSS videofluoroscopy),"VFSS is the modality, but the operative label for the classifier is two experts' binary visual read, with no standardized instrument (no MBSImP, DIGEST or PAS)",text-verifiable,abstract+pilot,"RS5 previously read 'NR (aetiology and severity distribution not reported)'. That is contradicted by the source, which reports aetiology and includes a healthy cohort. Since the full text was not retrieved through our channels, the row is corrected to not assessable rather than to a content claim. RS3 and the RS4 evidence previously described segmentation only."
A,VFSS_analysis/Cubero,Comput Biol Med 2025,RS2 target validity and surrogate substitution,segmentation mask is the label; the target is anatomical (not a proxy),"the framework has three steps; the headline endpoint is a classifier trained on the experts' binary impairment scores, not the segmentation mask alone",clinician judgment,abstract+pilot,"RS5 previously read 'NR (aetiology and severity distribution not reported)'. That is contradicted by the source, which reports aetiology and includes a healthy cohort. Since the full text was not retrieved through our channels, the row is corrected to not assessable rather than to a content claim. RS3 and the RS4 evidence previously described segmentation only."
A,VFSS_analysis/Cubero,Comput Biol Med 2025,RS3 label scale and granularity,"binary score per impairment (4 impairments), plus an anatomical segmentation step",n/a (segmentation),text-verifiable,abstract+pilot,"RS5 previously read 'NR (aetiology and severity distribution not reported)'. That is contradicted by the source, which reports aetiology and includes a healthy cohort. Since the full text was not retrieved through our channels, the row is corrected to not assessable rather than to a content claim. RS3 and the RS4 evidence previously described segmentation only."
A,VFSS_analysis/Cubero,Comput Biol Med 2025,RS4 label reliability,NR,"full text: two speech pathologists scored each impairment 0/1; no agreement statistic, no adjudication procedure and no blinding reported",text-verifiable,abstract+pilot,"RS5 previously read 'NR (aetiology and severity distribution not reported)'. That is contradicted by the source, which reports aetiology and includes a healthy cohort. Since the full text was not retrieved through our channels, the row is corrected to not assessable rather than to a content claim. RS3 and the RS4 evidence previously described segmentation only."
A,VFSS_analysis/Cubero,Comput Biol Med 2025,RS5 spectrum,not assessable through our channels; the published version is paywalled,"the published version is paywalled; a postprint exists and reports 15 head-and-neck, 15 healthy and 27 non-cancer dysphagia participants, which would make this row assessable if the authors elect to reopen it",clinician judgment,abstract+pilot,"RS5 previously read 'NR (aetiology and severity distribution not reported)'. That is contradicted by the source, which reports aetiology and includes a healthy cohort. Since the full text was not retrieved through our channels, the row is corrected to not assessable rather than to a content claim. RS3 and the RS4 evidence previously described segmentation only."
B,masa/Saab,Front Neurosci 2023,RS1 reference-standard type,clinical/bedside screening (post-stroke),full text: the TOR-BSST pass or fail status is the training label; VFSS is explicitly not the label,text-verifiable,abstract+fulltext,"RS5 previously read 'stroke patients; healthy controls? NR', which framed as unreported something the design settles. RS4 evidence now names the 94% audio-quality figure so the not-reported code cannot read as an oversight."
B,masa/Saab,Front Neurosci 2023,RS2 target validity and surrogate substitution,PROXY LEAKAGE: the model predicts a bedside-screening label FROM VOICE (not the instrumental standard),"the screening instrument itself assesses voice change, so the label is partly constituted by a judgment about the same signal the model consumes",clinician judgment,abstract+fulltext,"RS5 previously read 'stroke patients; healthy controls? NR', which framed as unreported something the design settles. RS4 evidence now names the 94% audio-quality figure so the not-reported code cannot read as an oversight."
B,masa/Saab,Front Neurosci 2023,RS3 label scale and granularity,binary dysphagia-risk,yes (binary risk),text-verifiable,abstract+fulltext,"RS5 previously read 'stroke patients; healthy controls? NR', which framed as unreported something the design settles. RS4 evidence now names the 94% audio-quality figure so the not-reported code cannot read as an oversight."
B,masa/Saab,Front Neurosci 2023,RS4 label reliability,NR (own label),"full text: 'even VFSS by SLP has ... poor inter-rater reliability' (acknowledged); no agreement statistic for the label. A 94% inter-rater agreement figure appears in the paper but concerns audio quality for inclusion, not the dysphagia label",text-verifiable,abstract+fulltext,"RS5 previously read 'stroke patients; healthy controls? NR', which framed as unreported something the design settles. RS4 evidence now names the 94% audio-quality figure so the not-reported code cannot read as an oversight."
B,masa/Saab,Front Neurosci 2023,RS5 spectrum,stroke inpatients only; no control arm by design,68 analysed stroke inpatients; aetiology and NIHSS reported in the cohort table; the words healthy and control do not appear,clinician judgment,abstract+fulltext,"RS5 previously read 'stroke patients; healthy controls? NR', which framed as unreported something the design settles. RS4 evidence now names the 94% audio-quality figure so the not-reported code cannot read as an oversight."
