source,id,doi,pmid,year,venue,title
EuropePMC,42411212,10.2174/0115672026477902260702064111,42411212,2026,Curr Neurovasc Res,The Technological Advances in Artificial Intelligence-assisted Diagnosis of Dysphagia: A Mini Review.
EuropePMC,42338670,10.2147/copd.s607694,42338670,2026,Int J Chron Obstruct Pulmon Dis,Development and Validation of an Explainable Machine Learning Model for Identification of Dysphagia in Patients with COPD.
EuropePMC,41714402,10.1038/s41598-026-40751-9,41714402,2026,Sci Rep,Classification of dysphagia severity after lateral medullary infarction with deep learning.
EuropePMC,41298263,10.1136/bmjopen-2025-108726,41298263,2025,BMJ Open,Artificial intelligence tools for the assessment and management of dysphagia: protocol for a scoping review.
EuropePMC,42234064,10.1007/s11548-026-03727-8,42234064,2026,Int J Comput Assist Radiol Surg,Deep learning for early detection of Zenker's diverticulum based on swallowing sound analysis.
EuropePMC,40767676,10.1590/2317-1782/e20240305en,40767676,2025,Codas,Artificial intelligence in the diagnosis and management of dysphagia: a scoping review.
EuropePMC,42232336,10.1044/2025_persp-25-00140,42232336,2026,Perspect ASHA Spec Interest Groups,Enhancing the assessment of deglutition function in preterm infants with mechano-acoustic analysis and machine learning: a narrative review.
EuropePMC,41541664,10.1016/j.isci.2025.114451,41541664,2026,iScience,Interpretable machine learning for accessible dysphagia screening and staging in older adults.
EuropePMC,41305043,10.3390/s25226834,41305043,2025,Sensors (Basel),Early Detection of Dysphagia Signs in Parkinson's Disease: An Artificial Intelligence-Based Approach Using Non-Invasive Sensors.
EuropePMC,42384315,10.1007/s10439-026-04267-7,42384315,2026,Ann Biomed Eng,"Screening and Evaluation of Post-stroke Dysphagia: Insights from Neurology, Artificial Intelligence and Data Science-A Scoping Review."
EuropePMC,41400168,10.1111/joor.70124,41400168,2026,J Oral Rehabil,Identification of Individualised Aspiration Mechanisms in Post-Stroke Dysphagia: A VFSS-Based Interpretable Machine Learning Approach.
EuropePMC,PPR1235978,10.64898/2026.05.16.26353385,,2026,,Automated identification of bolus types in modified barium swallow studies using deep learning: a preliminary study
EuropePMC,PPR1053347,10.21203/rs.3.rs-7007189/v1,,2025,,Prediction of dysphagia severity after lateral medullary infarction with deep learning
EuropePMC,42058278,10.3389/fradi.2026.1767875,42058278,2026,Front Radiol,YOLO11-based detection of manometry sensors in video-fluoroscopy imaging for computer-aided multimodal assessment of swallowing.
EuropePMC,41905601,10.1016/j.apmr.2026.03.016,41905601,2026,Arch Phys Med Rehabil,Assessing the Performance and Reliability of Deep Learning Autosegmentation in Videofluoroscopic Swallowing Studies: A Systematic Review and Meta-analysis.
EuropePMC,41772529,10.1186/s12893-026-03554-3,41772529,2026,BMC Surg,Interpretable machine learning model for predicting the risk of dysphagia in patients after cardiac surgery.
EuropePMC,41963397,10.1038/s41598-026-44495-4,41963397,2026,Sci Rep,Artificial intelligence and image processing framework for automated airway invasion detection and residue classification from swallowing endoscopy.
EuropePMC,42228093,10.1007/s00455-026-10956-1,42228093,2026,Dysphagia,Deep Learning-Based Acoustic Screening for Penetration-Aspiration Events Using Short Voice Recordings.
EuropePMC,42270275,10.1016/j.foodres.2026.119567,42270275,2026,Food Res Int,3D printing of wheat starch gels for dysphagia diet: Molecular interaction mechanisms and machine learning-assisted prediction of IDDSI levels.
EuropePMC,42127994,10.1088/2516-1091/ae6d5d,42127994,2026,Prog Biomed Eng (Bristol),Wearable sensors for monitoring neurogenic dysphagia: a scoping review.
EuropePMC,40624237,10.1038/s41598-025-10397-0,40624237,2025,Sci Rep,Deep learning-based video analysis for automatically detecting penetration and aspiration in videofluoroscopic swallowing study.
EuropePMC,PPR1185123,10.21203/rs.3.rs-9450763/v1,,2026,,A Machine Learning–Based Prediction Model for Dysphagia After Radiotherapy in Nasopharyngeal Carcinoma Survivors
EuropePMC,40901523,10.3389/fmed.2025.1624381,40901523,2025,Front Med (Lausanne),Artificial intelligence in dysphagia since the 21st century: a bibliometric and visualization study.
EuropePMC,42083492,10.1097/mco.0000000000001229,42083492,2026,Curr Opin Clin Nutr Metab Care,Artificial intelligence in nutritional assessment and decision making.
EuropePMC,42168445,10.1038/s41598-026-53618-w,42168445,2026,Sci Rep,Post-swallowing voice-based aspiration screening in dysphagia using a deep learning approach: insights from audio segmentation.
EuropePMC,41236586,10.1007/s12194-025-00984-1,41236586,2026,Radiol Phys Technol,Automatic measurement of pharyngeal contraction ratio during deglutition using 2D cine MRI with deep learning: A pilot study.
EuropePMC,41345272,10.1038/s41598-025-30913-6,41345272,2025,Sci Rep,An efficient dimensionality reduction framework using metaheuristic optimization with deep learning models for amyotrophic lateral sclerosis disease progression prediction.
EuropePMC,40725718,10.3390/jcm14145025,40725718,2025,J Clin Med,Predicting Long-Term Prognosis of Poststroke Dysphagia with Machine Learning.
EuropePMC,PPR1110382,10.21203/rs.3.rs-7823321/v1,,2025,,Deep Learning-Based Classification of Dysphagia Severity Using M-Mode Ultrasound Imaging
EuropePMC,40312192,10.1016/j.jvoice.2025.04.010,40312192,2025,J Voice,Artificial Intelligence in Speech-Language Pathology and Dysphagia: A Review From Latin American Perspective and Pilot Test of LLMs for Rehabilitation Planning.
EuropePMC,41774024,10.1016/j.pedhc.2026.01.009,41774024,2026,J Pediatr Health Care,Systematic Review of Studies Investigating Infant Feeding Difficulties: Focus on Machine Learning Applications.
EuropePMC,42135376,10.1038/s41598-026-52516-5,42135376,2026,Sci Rep,Machine learning-based analysis of the relationship between brain lesion sites and swallowing and cognitive functions in stroke patients.
EuropePMC,41578264,10.1186/s12911-025-03337-5,41578264,2026,BMC Med Inform Decis Mak,Machine learning-based model for prediction of swallowing recovery in post-stroke patients.
EuropePMC,40936063,10.1007/s00455-025-10879-3,40936063,2026,Dysphagia,Using Machine Learning for the Automated Segmentation and Detection of Swallows Obtained by Digital Cervical Auscultation in Preterm Neonates.
EuropePMC,40812133,10.1016/j.aucc.2025.101307,40812133,2025,Aust Crit Care,Exploring explainable machine learning techniques to aid dysphagia risk identification: A feasibility study.
