ref,author,year,doi,pmid,in_corpus
35,Aboofazeli M,2008,10.1007/s11517-007-0285-8,18000695,NO
36,Basiri B,2017,10.1109/aisp.2017.8324095,,YES
37,Cesarini V,2021,10.1109/metroind4.0iot51437.2021.9488503,,YES
38,Donohue C,2021,10.1007/s00455-020-10177-0,32889627,YES
39,Dudik JM,2018,10.1016/j.neucom.2017.12.059,29755210,YES
40,He F,2022,10.1109/taslp.2022.3203235,,NO
41,He F,2024,10.1109/icassp48485.2024.10447365,,NO
42,Inoue K,2018,10.1109/TBME.2018.2807487,29993526,YES
43,Kim H,2023,10.1016/j.bspc.2023.105259,,YES
44,Lazareck LJ,2004,10.1109/TBME.2004.836504,15605857,NO
45,Lee J,2011,10.1016/j.artmed.2011.03.002,21549579,NO
46,Miyagi S,2020,10.3390/healthcare8020103,32326267,YES
47,Nikjoo MS,2011,10.1186/1475-925x-10-100,,YES
48,Ramírez J,2018,10.1021/acsnano.8b02133,29874030,YES
49,Roldan-Vasco S,2021,10.1016/j.cmpb.2021.106248,34260973,YES
50,Roldan-Vasco S,2023,10.1016/j.bspc.2022.104533,,NO
51,Roldan-Vasco S,2023,10.1016/j.dsp.2022.103815,,NO
52,Saab R,2023,10.3389/fnins.2023.1302132,38130696,YES
53,Sakai K,2021,10.3390/nu13114009,34836264,YES
54,Spadotto AA,2008,10.1109/isccsp.2008.4537320,,NO
55,Spadotto AA,2009,10.1016/j.amc.2007.10.065,,NO
56,Steele CM,2019,10.1007/s00455-018-09974-5,30612234,NO
57,Wang S,2021,10.1109/iscas51556.2021.9401353,,NO
58,Zhao H,2022,10.1016/j.eswa.2022.117496,,YES
